"Sku,","Product, ","Brand,","Style,","Qty on hand,","Qty on shelf,","Qty Ordered on shelf,","Qty in carts,","Qty Sold,","Total Waitlist,","Total Waitlist Authorized,","Price,","Cost,","Size,","Color,","Location,","Shipping,",Weight,
1006,Just Peachy *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,46.99,23.9,3XL,,,,16,i-109
1011,Lacey Summer,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,11.75,1XL,,,,16,i-110
1011,Lacey Summer,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,11.75,2XL,,,,16,i-111
1043,Laid Back Day,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,22.99,XL/1XL,BLACK,,,16,i-112
1043,Laid Back Day,TheMadHatterStoreTN,,3,0,0,0,0,0,0,49.99,22.99,XL/1XL,TAUPE,,,16,i-113
1043,Laid Back Day,TheMadHatterStoreTN,,1,0,0,0,0,0,0,49.99,22.99,1XL/2XL,BLACK,,,16,i-114
1043,Laid Back Day,TheMadHatterStoreTN,,3,0,0,0,0,0,0,49.99,22.99,1XL/2XL,TAUPE,,,16,i-115
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,XL,OATMEAL,,,16,i-116
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,XL,BLACK,,,16,i-117
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,1XL,OATMEAL,,,16,i-118
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,1XL,BLACK,,,16,i-119
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,2XL,OATMEAL,,,16,i-120
1049,Leopard Always Has Your Back,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,20.25,2XL,BLACK,,,16,i-121
1018,Leopard Baby,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,17.25,XL,,,,16,i-122
1018,Leopard Baby,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,17.25,1XL,,,,16,i-123
1018,Leopard Baby,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,17.25,2XL,,,,16,i-124
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,7.25,5.5,,,,24,i-125
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,7.25,6,,,,24,i-126
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,7.25,6.5,,,,24,i-127
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,7.25,7,,,,24,i-128
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,1,0,0,0,0,0,0,24.99,7.25,7.5,,,,24,i-129
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,2,0,0,0,0,0,0,24.99,7.25,8,,,,24,i-130
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,3,0,0,0,0,0,0,24.99,7.25,8.5,,,,24,i-131
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,2,0,0,0,0,0,0,24.99,7.25,9,,,,24,i-132
1051,Leopard Braided Slip-on Sandal,TheMadHatterStoreTN,,0,0,0,0,0,0,0,24.99,7.25,10,,,,24,i-133
1056,Leopard Cutout Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,29.99,0,1X,,,,16,i-134
1056,Leopard Cutout Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,29.99,0,2X,,,,16,i-135
1056,Leopard Cutout Top,TheMadHatterStoreTN,,0,0,0,0,0,0,0,29.99,0,3X,,,,16,i-136
1002,Leopard Love *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,15.9,1X,,,,16,i-137
1002,Leopard Love *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,15.9,2X,,,,16,i-138
1002,Leopard Love *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,15.9,3X,,,,16,i-139
1065,Leopard Stripe Flare Jeans,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,0,14,,,,16,i-140
1065,Leopard Stripe Flare Jeans,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,0,16,,,,16,i-141
1065,Leopard Stripe Flare Jeans,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,0,18,,,,16,i-142
1065,Leopard Stripe Flare Jeans,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,0,20,,,,16,i-143
1065,Leopard Stripe Flare Jeans,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,0,22,,,,16,i-144
1016,Light and Bright,TheMadHatterStoreTN,,1,0,0,0,0,0,0,38.99,0,XL,,,,16,i-145
1016,Light and Bright,TheMadHatterStoreTN,,2,0,0,0,0,0,0,38.99,0,1XL,,,,16,i-146
1016,Light and Bright,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,0,2XL,,,,16,i-147
1059,Mint Boyfriend Jeans,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,0,14,,,,16,i-148
1059,Mint Boyfriend Jeans,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,0,16,,,,16,i-149
1059,Mint Boyfriend Jeans,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,0,18,,,,16,i-150
1059,Mint Boyfriend Jeans,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,0,20,,,,16,i-151
1057,Mustard Flares,TheMadHatterStoreTN,,1,0,0,0,0,0,0,45.99,20,14,,,,16,i-152
1057,Mustard Flares,TheMadHatterStoreTN,,1,0,0,0,0,0,0,45.99,20,16,,,,16,i-153
1057,Mustard Flares,TheMadHatterStoreTN,,2,0,0,0,0,0,0,45.99,20,18,,,,16,i-154
1057,Mustard Flares,TheMadHatterStoreTN,,0,0,0,0,0,0,0,45.99,20,20,,,,16,i-155
1057,Mustard Flares,TheMadHatterStoreTN,,0,0,0,0,0,0,0,45.99,20,22,,,,16,i-156
1062,Mustard Scoop Neck Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,19.99,0,XL,,,,16,i-157
1062,Mustard Scoop Neck Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,19.99,0,2XL,,,,16,i-158
1062,Mustard Scoop Neck Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,19.99,0,3XL,,,,16,i-159
1009,Never Lose Your Spots *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,27.99,13.75,XL,,,,16,i-160
1009,Never Lose Your Spots *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,27.99,13.75,1XL,,,,16,i-161
1009,Never Lose Your Spots *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,27.99,13.75,2XL,,,,16,i-162
1024,Off The Shoulder Flounce Top,TheMadHatterStoreTN,,0,0,0,0,0,0,0,34.99,13.75,1XL,,,,16,i-163
1024,Off The Shoulder Flounce Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,34.99,13.75,2XL,,,,16,i-164
1024,Off The Shoulder Flounce Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,34.99,13.75,3XL,,,,16,i-165
1039,Onyx Wide Leg Pants,TheMadHatterStoreTN,,1,0,0,0,0,0,0,37.99,0,XL,,,,16,i-166
1039,Onyx Wide Leg Pants,TheMadHatterStoreTN,,2,0,0,0,0,0,0,37.99,0,1XL,,,,16,i-167
1039,Onyx Wide Leg Pants,TheMadHatterStoreTN,,0,0,0,0,0,0,0,37.99,0,2XL,,,,16,i-168
1044,Relaxed Summer Jumper *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.95,1XL,,,,16,i-169
1044,Relaxed Summer Jumper *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,15.95,2XL,,,,16,i-170
1044,Relaxed Summer Jumper *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,15.95,3XL,,,,16,i-171
1003,Rose All Day *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,48.99,19.5,1XL,,,,16,i-172
1003,Rose All Day *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,48.99,19.5,2XL,,,,16,i-173
1003,Rose All Day *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,48.99,19.5,3XL,,,,16,i-174
1026,Ruffle Cold Shoulder Top *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,29.99,15,1X,,,,16,i-175
1026,Ruffle Cold Shoulder Top *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,29.99,15,2X,,,,16,i-176
